Record date,Type of crop,Grade,Ktonnes,Region,Global_region,Destination
31/12/2014,Wheat,FEED,0.1,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Wheat,FEED,10.5,St. Lawrence,Africa,Tanzania
31/12/2014,Wheat,No.1 C PS,33,Prince Rupert,Asia,Sri Lanka
31/12/2014,Wheat,No.1 CW RS,70.4,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW RS,15.4,Vancouver,Asia,Bangladesh
31/12/2014,Wheat,No.1 CW RS,21,Vancouver,Asia,China P.R.
31/12/2014,Wheat,No.1 CW RS,16,Vancouver,Asia,Indonesia
31/12/2014,Wheat,No.1 CW RS,96.3,Vancouver,Asia,Japan
31/12/2014,Wheat,No.1 CW RS,11,Vancouver,Asia,South Korea
31/12/2014,Wheat,No.1 CW RS,24.2,Vancouver,Asia,United Arab Emirates
31/12/2014,Wheat,No.1 CW RS,24.2,Vancouver,Western Hemisphere,Bolivia
31/12/2014,Wheat,No.1 CW RS,15.5,Vancouver,Western Hemisphere,Ecuador
31/12/2014,Wheat,No.1 CW RS,38.5,Vancouver,Western Hemisphere,Peru
31/12/2014,Wheat,No.1 CW RS,75.8,Prince Rupert,Asia,Indonesia
31/12/2014,Wheat,No.1 CW RS,44,Prince Rupert,Asia,Sri Lanka
31/12/2014,Wheat,No.1 CW RS,27.3,Prince Rupert,Western Hemisphere,Colombia
31/12/2014,Wheat,No.1 CW RS,31.5,Prince Rupert,Western Hemisphere,Peru
31/12/2014,Wheat,No.1 CW RS,11.1,Thunder Bay,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW RS,13.4,St. Lawrence,Western Europe,United Kingdom
31/12/2014,Wheat,No.1 CW RS,3.3,St. Lawrence,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 C PS,22,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 CE,5.5,Bay & Lakes,Western Hemisphere,Mexico
31/12/2014,Wheat,No.2 CE,13.3,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Wheat,No.2 CE,11.1,St. Lawrence,Western Hemisphere,Brazil
31/12/2014,Wheat,No.2 CW HWS,2.8,St. Lawrence,Western Europe,United Kingdom
31/12/2014,Wheat,No.2 CW RS,33,Vancouver,Western Europe,Spain
31/12/2014,Wheat,No.2 CW RS,143.3,Vancouver,Asia,Bangladesh
31/12/2014,Wheat,No.2 CW RS,10.5,Vancouver,Asia,China P.R.
31/12/2014,Wheat,No.2 CW RS,14.9,Vancouver,Asia,Indonesia
31/12/2014,Wheat,No.2 CW RS,11.8,Vancouver,Asia,Malaysia
31/12/2014,Wheat,No.2 CW RS,1.4,Vancouver,Asia,Vietnam
31/12/2014,Wheat,No.2 CW RS,7.5,Vancouver,Western Hemisphere,Bolivia
31/12/2014,Wheat,No.2 CW RS,18,Vancouver,Western Hemisphere,Ecuador
31/12/2014,Wheat,No.2 CW RS,53.7,Vancouver,Western Hemisphere,Peru
31/12/2014,Wheat,No.2 CW RS,72,Prince Rupert,Africa,Sudan
31/12/2014,Wheat,No.2 CW RS,49.5,Prince Rupert,Asia,Indonesia
31/12/2014,Wheat,No.2 CW RS,16.5,Prince Rupert,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,61.1,Churchill,Africa,Nigeria
31/12/2014,Wheat,No.2 CW RS,32.5,Churchill,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,35.2,Churchill,Western Hemisphere,Mexico
31/12/2014,Wheat,No.2 CW RS,26.3,Thunder Bay,Western Europe,Italy
31/12/2014,Wheat,No.2 CW RS,22.5,Thunder Bay,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,14,Thunder Bay,Western Hemisphere,Mexico
31/12/2014,Wheat,No.2 CW RS,4.1,Thunder Bay,Western Hemisphere,United States
31/12/2014,Wheat,No.2 CW RS,14,Thunder Bay,Western Hemisphere,Venezuela
31/12/2014,Wheat,No.2 CW RS,10.9,St. Lawrence,Western Europe,Netherlands
31/12/2014,Wheat,No.2 CW RS,9.4,St. Lawrence,Western Europe,Portugal
31/12/2014,Wheat,No.2 CW RS,12,St. Lawrence,Africa,Malawi
31/12/2014,Wheat,No.2 CW RS,13,St. Lawrence,Africa,Mozambique
31/12/2014,Wheat,No.2 CW RS,16.5,St. Lawrence,Africa,Tanzania
31/12/2014,Wheat,No.2 CW RS,70.5,St. Lawrence,Africa,West Africa
31/12/2014,Wheat,No.2 CW RS,54.6,St. Lawrence,Western Hemisphere,Brazil
31/12/2014,Wheat,No.2 CW RS,25.8,St. Lawrence,Western Hemisphere,Colombia
31/12/2014,Wheat,No.2 CW RS,49.4,St. Lawrence,Western Hemisphere,Cuba
31/12/2014,Wheat,No.2 CW RS,10,St. Lawrence,Western Hemisphere,Haiti
31/12/2014,Wheat,No.2 CW RS,44,St. Lawrence,Western Hemisphere,Venezuela
31/12/2014,Wheat,No.3 CE,0,Bay & Lakes,Western Hemisphere,United States
31/12/2014,Wheat,OTHER,66,Vancouver,Asia,Iran
31/12/2014,Wheat,OTHER,50,Vancouver,Asia,Iraq
31/12/2014,Wheat,OTHER,63,Vancouver,Asia,Saudi Arabia
31/12/2014,Wheat,OTHER,63,Prince Rupert,Asia,Saudi Arabia
31/12/2014,Wheat,OTHER,11,Prince Rupert,Western Hemisphere,Colombia
31/12/2014,Wheat,OTHER,48.7,St. Lawrence,Western Europe,United Kingdom
31/12/2014,Wheat,No.1 CW AD,22.7,Prairie Elevators,Western Hemisphere,United States
31/12/2014,Wheat,No.1 CW AD,5.5,Prince Rupert,Asia,Indonesia
31/12/2014,Wheat,No.1 CW AD,21,Thunder Bay,Africa,Algeria
31/12/2014,Wheat,No.1 CW AD,60.2,Thunder Bay,Africa,Morocco
31/12/2014,Wheat,No.1 CW AD,48.8,St. Lawrence,Africa,Algeria
31/12/2014,Wheat,No.2 CW AD,57.8,Vancouver,Africa,Algeria
31/12/2014,Wheat,No.2 CW AD,21.9,Vancouver,Asia,Japan
31/12/2014,Wheat,No.2 CW AD,9.1,Vancouver,Western Hemisphere,Chile
31/12/2014,Wheat,No.2 CW AD,5.5,Vancouver,Western Hemisphere,Ecuador
31/12/2014,Wheat,No.2 CW AD,20.9,Vancouver,Western Hemisphere,Peru
31/12/2014,Wheat,No.2 CW AD,12.3,Churchill,Africa,Nigeria
31/12/2014,Wheat,No.2 CW AD,10.5,Thunder Bay,Western Europe,Belgium
31/12/2014,Wheat,No.2 CW AD,33.6,St. Lawrence,Western Europe,Belgium
