Record date,GEO,Type of stock,Type of crop,K tonnes
31/12/2014,Canada,Farm stocks,Barley,5090
31/12/2014,Canada,Farm stocks,Canary seed,0
31/12/2014,Canada,Farm stocks,Canola,11320
31/12/2014,Canada,Farm stocks,Chick peas,0
31/12/2014,Canada,Farm stocks,Corn,7680
31/12/2014,Canada,Farm stocks,Flaxseed,505
31/12/2014,Canada,Farm stocks,Lentils,1549
31/12/2014,Canada,Farm stocks,Mustard seed,0
31/12/2014,Canada,Farm stocks,Oats,2380
31/12/2014,Canada,Farm stocks,Peas,2102
31/12/2014,Canada,Farm stocks,Rye,114
31/12/2014,Canada,Farm stocks,Soybeans,2070
31/12/2014,Canada,Farm stocks,Sunflower seed,0
31/12/2014,Canada,Farm stocks,Wheat,21242
31/12/2014,Canada,Farm stocks,Wheat,3222
31/12/2014,Canada,Farm stocks,Wheat,18020
31/12/2014,Canada,Commercial stocks,Barley,341
31/12/2014,Canada,Commercial stocks,Canary seed,0
31/12/2014,Canada,Commercial stocks,Canola,1308
31/12/2014,Canada,Commercial stocks,Chick peas,0
31/12/2014,Canada,Commercial stocks,Corn,2035
31/12/2014,Canada,Commercial stocks,Flaxseed,87
31/12/2014,Canada,Commercial stocks,Lentils,104
31/12/2014,Canada,Commercial stocks,Mustard seed,0
31/12/2014,Canada,Commercial stocks,Oats,188
31/12/2014,Canada,Commercial stocks,Peas,184
31/12/2014,Canada,Commercial stocks,Rye,15
31/12/2014,Canada,Commercial stocks,Soybeans,1247
31/12/2014,Canada,Commercial stocks,Sunflower seed,0
31/12/2014,Canada,Commercial stocks,Wheat,4354
31/12/2014,Canada,Commercial stocks,Wheat,865
31/12/2014,Canada,Commercial stocks,Wheat,3489
31/12/2014,Eastern Canada,Farm stocks,Barley,260
31/12/2014,Eastern Canada,Farm stocks,Canola,20
31/12/2014,Eastern Canada,Farm stocks,Corn,7015
31/12/2014,Eastern Canada,Farm stocks,Oats,155
31/12/2014,Eastern Canada,Farm stocks,Rye,6
31/12/2014,Eastern Canada,Farm stocks,Soybeans,1600
31/12/2014,Eastern Canada,Farm stocks,Wheat,735
31/12/2014,Eastern Canada,Farm stocks,Wheat,735
31/12/2014,Prince Edward Island,Farm stocks,Barley,46
31/12/2014,Prince Edward Island,Farm stocks,Corn,0
31/12/2014,Prince Edward Island,Farm stocks,Oats,4
31/12/2014,Prince Edward Island,Farm stocks,Soybeans,21
31/12/2014,Prince Edward Island,Farm stocks,Wheat,15
